kljuc,ime,drzava,pokali,zmage,endurance,exp,cas1,cas2,cas3,eff1,eff2,eff3,mastery1,mastery2,mastery3,ws1,ws2,ws3
3123610,diablo888,DE,1123,214195,27360,88363316,1,20,72,192,159,140,100,88,42,101,34,8
7359298,Sosoru(別ゲームに逃走中),JP,1123,60387,12720,19564579,0,12,48,171,156,130,99,84,50,89,28,8
5802800,Axel Lindström,SE,1122,122501,25140,62115128,1,21,81,200,154,141,99,88,49,81,27,9
4814658,DarkStar,CN,1122,43742,17700,27010262,1,14,53,160,153,133,97,83,51,63,26,8
13247721,BorbityBorb,GR,1122,44256,22740,23244574,0,18,71,189,162,151,99,91,50,88,34,8
12896030,TheMemeLocomotive,US,1122,40296,17460,21878179,1,12,63,208,162,147,99,88,46,74,29,7
7124359,potatoes,US,1122,24973,16860,7892422,0,8,43,200,175,143,94,88,45,35,28,8
7203653,rgg,XX,1120,135155,27480,58543817,1,19,70,181,157,138,100,83,44,104,30,8
3283855,ahwitz,US,1120,42621,16200,43635569,2,16,55,182,146,132,99,86,43,85,27,8
2531639,Al-Esku,NZ,1119,42843,15420,29791919,1,17,61,152,143,126,98,85,49,87,26,9
642285,Galaxi,SE,1118,69069,14100,42261278,1,13,50,200,141,126,99,90,50,84,31,7
1388039,boru,PL,1118,75163,50340,37978907,0,8,31,200,166,140,100,85,47,108,22,6
6095151,Nhuwjt,VN,1117,51707,21540,57323656,2,22,76,165,143,131,100,84,47,121,24,7
12409158,Cedur (hates NF arena),DE,1117,68168,17820,34690004,1,17,66,174,160,138,100,84,49,109,32,7
5002111,Yūki Akabane,JP,1116,94342,23640,45325464,1,20,74,192,159,139,98,88,46,80,26,8
17089279,Lovesick,JP,1116,29501,17820,34090929,2,19,69,171,143,135,100,90,50,107,31,7
1537421,trckui11,IL,1116,73253,19560,24341538,1,12,49,225,164,134,100,88,45,115,34,8
7086917,Prutsbeest,BE,1116,27738,16680,15216947,1,16,60,185,146,143,97,78,52,68,19,8
14579874,cream,JP,1115,51930,19380,37421329,1,20,68,194,160,144,98,88,44,71,30,6
4043148,Archer0930,CX,1115,51828,2897,25718219,0,10,45,200,170,144,99,89,42,82,30,7
2120292,Кандэлябр,BY,1114,144922,23940,105604389,2,21,78,178,155,134,99,83,43,87,31,8
3855374,afgg,US,1114,49199,17160,23579990,1,16,57,182,155,133,98,87,47,75,30,9
4969972,cat :3,US,1113,79076,34980,23767927,0,14,50,200,168,144,98,87,44,68,25,9
5331153,chowchunfu,HK,1113,20038,17160,15982296,1,17,65,142,138,136,97,85,53,42,14,10
4701265,eff,PH,1113,27060,81240,15415077,0,8,39,194,151,131,97,85,45,54,17,8
16587681,Cyclone0612,PL,1113,16213,38040,6259353,1,13,47,200,161,147,97,81,46,46,16,8
3468155,EufemiaHZ,ES,1112,75385,21480,56414863,1,18,62,185,154,128,99,87,42,74,33,6
1105425,MadsFuldGas,DK,1112,98351,22680,51619304,1,16,59,186,169,137,99,83,42,97,23,9
4909363,YooonY,KR,1111,147982,34200,58936376,2,19,77,193,146,130,99,88,52,85,30,9
3602486,team worm,US,1111,171659,25200,37631162,1,20,65,200,158,130,99,91,47,88,45,7
4067714,rotanimod,US,1110,50022,83160,24966205,2,15,59,182,147,140,99,81,48,83,23,10
4928386,CrystalClear,ID,1109,43220,3264,34720657,1,13,46,200,170,142,98,87,40,57,22,6
5813232,yumeoi,XX,1109,46522,17580,30369786,2,16,66,155,163,135,97,86,47,60,21,7
9887908,Aleksey Berdyugin,RU,1109,35949,17880,29578490,2,19,64,180,163,138,97,85,49,58,29,8
2150671,​hc,DK,1109,115372,3460,24144726,1,11,47,227,180,148,98,85,21,51,22,8
3221572,YSY,SG,1108,142414,18120,119032381,1,17,59,160,136,122,99,83,49,78,25,8
3223654,JSwole,US,1108,70075,15720,36112041,1,15,49,159,135,128,99,85,38,96,36,6
14507302,karikari,JP,1108,34820,17220,20689407,2,18,57,184,151,135,97,88,46,65,27,8
5133023,TODOMECAPS,GR,1106,134452,22620,75763916,2,20,71,200,151,134,98,85,44,77,31,11
3756099,jinzx10,CN,1106,74578,3033,46824130,1,14,48,175,151,130,99,89,45,68,24,7
6191817,BS747,SK,1106,126066,25020,42899818,2,21,78,200,157,141,99,86,47,97,28,9
3733293,84436,VN,1105,63906,29580,29997174,1,20,76,219,163,150,99,84,42,85,26,11
2120248,Bensie,NL,1105,57706,18360,18022462,1,12,38,150,135,121,97,84,34,71,20,9
3205112,Doogle,FR,1104,48808,15900,42867504,1,14,49,160,147,133,97,81,40,72,26,7
5463299,isvaldor,XX,1103,139331,25920,54977162,1,21,75,192,146,125,99,85,46,91,27,10
7925244,SDXX,CN,1103,31469,18600,23675956,1,15,53,193,156,138,98,86,43,89,19,6
5225686,77.,CN,1103,43525,16740,19788143,1,12,46,144,146,126,98,79,45,72,26,7
1907896,𝓶𝓪𝓻𝓴.𝓽,JP,1102,222413,31260,141422561,2,29,110,177,153,137,100,90,43,129,32,7
2329929,I r i n a,BY,1102,184802,28260,114585293,2,24,88,192,149,129,99,86,45,85,24,8
9740766,x `,CN,1102,23504,16020,39550928,None,None,51,None,None,140,None,None,38,None,None,8
4331257,Lulic71,IT,1102,56727,4020,38352240,1,19,64,164,156,130,97,82,45,51,22,10
8032943,davidov,IL,1102,25312,3509,16793929,1,15,52,171,152,146,98,82,45,64,23,8
1642044,Arhi,RU,1101,72797,20760,51467086,2,19,76,167,144,132,100,83,45,119,29,7
3777798,lIlIlIlIIlIlII,KR,1101,55791,22740,37688106,1,15,50,160,141,132,98,87,45,92,24,7
3039065,Anonymous3039065,KR,1100,101979,29820,60451695,2,22,87,187,152,137,98,82,46,76,24,8
4832923,Lilyknight,JP,1100,29117,26100,29577108,2,21,69,171,148,136,98,83,43,55,24,9
2691646,Gertoperto,NL,1100,46860,21000,27666407,2,20,67,200,153,133,98,83,47,65,21,8
5009855,MUSIC♥SP/EFF,CN,1099,48429,3720,31266222,1,14,52,192,165,143,95,83,40,52,24,7
128369,Rurex,PL,1099,56053,3660,19436855,1,18,61,147,144,133,98,84,49,69,30,9
1460931,Amaranth,IT,1098,22033,17760,14750246,1,19,59,147,138,128,99,78,43,94,25,10
1241073,Peter_K 🇺🇦,DE,1097,231483,33600,143668857,2,28,103,200,150,129,99,88,47,80,27,9
4484815,ata,KR,1097,172499,4020,61447237,2,20,74,211,154,136,100,86,42,109,41,7
8686380,Zaff777🐢,US,1097,43638,22560,32373871,1,15,59,187,140,128,99,87,47,108,36,8
4700637,Whopper🍔,FR,1097,48174,17700,27229394,1,13,48,206,167,140,93,75,44,58,17,7
7887721,He's a baby,IS,1095,32332,17220,17859452,1,16,59,191,155,137,99,86,51,92,18,6
5916707,saolei6404,CN,1094,55171,3132,66319699,1,11,41,192,149,133,99,79,38,83,22,6
7216117,TomCat634,JP,1094,62899,25860,41510759,2,24,76,165,145,131,99,84,48,96,27,12
595032,RmwCby,MD,1094,67169,17940,27586565,1,17,56,160,138,128,97,79,45,66,17,7
4837574,Asbl11,TW,1094,55342,22800,20850278,1,14,53,193,154,143,98,86,44,88,24,7
8258534,Midsommar,KR,1094,36525,3720,20827084,1,19,68,150,145,129,98,84,50,86,34,9
13890582,hjkfgdsf,JP,1094,27964,23040,14252220,2,14,66,170,147,130,98,84,53,81,33,10
3134054,guotianyun,CN,1093,79831,32340,41863800,2,17,65,192,151,141,98,85,45,82,27,7
1866320,Larkin,HU,1093,78411,29220,36171297,1,13,55,200,152,136,99,86,40,96,31,6
6572129,Julian1898,DE,1092,185128,36420,59978821,1,21,77,167,159,127,98,88,37,82,33,12
2650407,Yukina,RU,1092,66642,47460,46758592,2,25,79,160,147,125,99,85,44,75,36,10
6878391,あああああ🌸~,XX,1092,53430,15720,25321404,1,16,58,208,152,130,99,82,43,98,19,8
1417668,Gainz,CA,1090,9763,20460,26732678,1,10,39,138,135,127,97,74,38,51,16,7
733893,llama,GB,1090,48320,26040,8603308,1,11,46,225,171,145,100,83,47,102,25,8
3868367,nellok,US,1089,114412,35220,57777818,2,28,94,178,145,132,100,87,51,100,32,8
10621616,Mawy,NO,1089,48229,17100,26102676,1,15,52,160,138,124,99,82,45,89,22,8
6199518,Tex7734,PL,1089,24227,22860,15968041,2,23,77,173,159,136,97,86,50,60,24,8
1933881,Pantoffel,AW,1088,129112,25080,68537774,1,20,70,158,145,126,98,87,33,68,27,8
539741,Rige,BE,1088,57198,4140,24008031,1,15,54,182,155,137,98,89,44,70,30,7
9689070,Marten2195,NL,1087,43976,4620,23405254,1,19,68,171,149,124,98,84,50,72,32,8
11410095,Sileair,DE,1087,47085,17880,22870046,2,21,80,193,150,133,99,84,47,82,38,7
3437767,ufo,JP,1087,31319,24600,15095180,1,16,53,178,150,135,95,79,43,47,20,7
2243976,Fausto,IT,1086,52191,32040,36572698,2,23,81,164,153,134,98,85,48,80,33,8
11815198,Polchto,FR,1086,16295,21600,7730349,1,17,65,193,157,144,97,87,47,61,34,6
5551887,Faith&amp;Truth,US,1085,44428,34260,49157476,2,23,78,146,136,122,98,85,47,67,29,8
2848655,みーど,JP,1085,58882,18900,46515885,1,20,63,163,139,134,97,79,42,53,21,8
3963363,Ekas,LT,1085,26269,17280,9515990,2,20,72,163,142,134,98,82,50,63,29,8
13355498,Sagomungci,KR,1084,26819,22320,19079957,2,20,71,175,153,136,97,81,48,63,25,7
14504611,lslslslslslsl,CN,1084,24682,78960,13565477,1,13,61,200,175,151,95,76,44,57,16,6
2215451,Капуста,RU,1083,150843,25080,86263458,2,21,74,181,153,136,98,82,40,78,25,7
2168209,ぉゃっ,JP,1083,117790,30000,67958730,2,23,86,156,157,124,97,86,47,77,27,9
5324608,Hao1501,VN,1083,56571,21960,22016423,1,20,77,200,174,145,98,86,50,80,30,7
6740586,tchesket,US,1083,38694,77940,19164156,1,15,57,182,149,125,99,86,43,71,23,8
5465333,PhanthomPhreak,BE,1082,112938,52620,53165195,2,23,83,181,154,133,98,81,45,82,34,8
3570792,kostebek,DE,1082,82855,82680,38857970,1,19,65,176,145,129,99,87,42,91,35,7
1934311,zbt(inactive),CN,1082,18437,5340,17521704,2,21,64,209,163,149,96,75,46,49,24,7
12649239,These,CZ,1082,30858,20520,17391678,2,24,73,167,143,138,99,87,42,85,34,8
8643787,Sternenstaub,DE,1081,76647,31800,54497006,2,24,93,150,147,133,99,88,40,85,25,8
4401250,COOKING_IDOL,JP,1081,33890,17280,25509235,1,15,54,160,140,127,98,81,42,72,30,9
12414223,smiley_eff,JP,1081,49557,52920,23162798,1,20,81,188,157,145,98,88,48,69,29,8
11964243,Treecko1,GB,1081,48906,34140,18767888,1,16,57,175,144,125,99,86,44,96,27,8
3937242,Conscience404,XX,1081,62444,21180,15516583,2,22,77,171,162,128,100,89,40,128,35,7
2320331,ponder 📦,UA,1080,90627,28380,53162455,2,20,76,155,144,129,99,83,42,93,31,8
6069460,man1aq|Thanks!,PL,1079,114994,30240,69233648,2,23,94,156,163,130,99,88,41,82,35,8
1062291,RadicalMGuy,CA,1079,47880,22620,23634403,1,16,57,150,145,125,96,76,43,61,22,7
9288683,kou,JP,1079,54384,22860,21539057,1,17,69,182,160,139,99,83,53,99,25,8
998373,Raiden,AR,1079,26597,20460,15005275,2,19,59,146,142,138,98,79,39,77,19,7
13144392,kzk,JP,1079,19859,17640,12299218,1,18,62,180,144,137,97,78,44,61,28,6
4531851,Voytek,GB,1079,30082,19740,11548994,1,20,68,163,136,126,97,85,47,68,28,9
11122804,Jannz,PE,1078,89746,26700,30641650,2,21,76,173,146,131,99,81,44,94,29,8
164649,NeviD,RU,1078,60596,46440,29381264,1,13,50,145,142,121,99,80,38,83,30,9
8267444,我不是大佬,TW,1077,111485,41760,35841082,0,14,51,188,158,133,99,85,44,78,25,6
15734516,vvvf,JP,1077,24095,76260,13202484,1,22,69,200,150,146,97,85,41,74,21,9
7267978,yama🌸,JP,1077,52564,19680,12309690,1,20,60,200,144,131,99,83,49,81,27,10
1587994,qwex,KR,1077,16733,20940,11698031,3,22,68,171,148,134,98,85,47,65,22,7
13539538,jilI,JP,1077,29614,17520,10155627,1,18,64,171,149,131,97,83,46,69,22,7
5806294,Tug,DE,1076,37069,41160,14081553,1,17,61,192,147,141,100,86,48,103,27,7
5257294,Pro overtime worker,KR,1075,45942,26880,31123475,2,22,81,141,129,121,98,85,52,74,24,9
8309074,Zoooooooook,US,1075,45690,23940,19605025,1,17,68,167,146,126,99,85,44,93,24,8
9832786,弥次さん,JP,1074,23934,20880,9331912,2,20,62,140,143,138,98,80,49,62,17,7
3879531,evgheni,IT,1073,131809,5100,79616061,1,24,94,183,160,135,99,87,45,95,27,7
6596922,Silvergreen324,US,1073,53831,67440,41498579,1,20,75,164,136,127,98,88,46,75,31,7
1258417,Rokokosz,PL,1073,60761,23820,38643045,1,15,48,192,140,126,96,86,42,52,22,8
11695868,quickkiran,CA,1073,75947,24960,32131957,2,21,81,179,146,128,99,88,52,74,31,8
4731288,Der Coach,DE,1073,71051,31320,31585065,3,26,83,190,144,126,98,87,45,73,33,9
6895032,Wirges,MX,1073,43288,4500,31309683,1,17,62,154,139,130,97,87,44,67,32,8
5938049,chaouu,GB,1073,45557,22740,24453263,2,17,64,175,142,125,96,84,53,73,26,6
4347293,Gimr,CH,1073,35227,4080,18055195,1,19,68,163,148,136,97,81,43,62,24,9
705884,Matthieu,FR,1072,34037,21300,8024061,1,13,49,144,134,128,100,86,38,114,39,6
15566359,Сергей Атаманчук,UA,1070,54699,24420,31351408,1,23,75,200,161,139,99,78,37,64,22,7
5048976,catboislim,US,1070,41649,3960,16005874,2,21,70,157,139,123,99,87,48,82,38,7
4735621,Kirby703,US,1070,26582,14580,9502929,1,16,59,159,148,140,97,87,46,69,23,7
5853300,名無し5853300,JP,1069,81749,4560,42740333,2,26,89,175,146,128,100,83,45,115,27,7
1434942,KAMO,JP,1069,35937,74640,26246135,2,17,61,160,135,123,97,83,46,85,18,7
6152553,rail,JP,1069,46143,3600,23044637,1,17,59,171,149,131,98,82,39,79,27,7
4769053,wbe21547@cuoly.com,DE,1069,39445,26100,20791957,2,21,85,144,144,126,98,84,46,88,22,10
9874925,Aaron9,US,1069,39175,72240,16146100,2,19,79,177,156,142,98,78,49,70,20,8
4827542,Janovic1th,SK,1069,102527,19800,13225243,1,19,56,167,143,123,98,85,42,81,30,6
1981820,Too much|UA,UA,1068,52035,25680,36370290,2,23,78,165,151,132,97,86,37,71,29,6
9048814,まここ,JP,1068,46422,17400,13046589,1,14,51,160,137,122,98,78,45,71,26,6
395362,NB Mobile,BG,1067,281332,60480,102773748,1,20,106,165,142,131,99,89,42,99,34,7
7332954,hfr3d,FR,1067,129755,4620,57676607,2,24,80,177,158,129,99,89,39,89,27,9
7016850,･ﾟ✮𝐵𝓊𝒷𝓊𝓁𝓁𝑒✮ﾟ･,FR,1067,53906,31080,38704762,3,23,87,164,144,128,98,88,47,87,30,7
7251413,でんしふろーらむ,JP,1066,137553,34800,49051507,2,25,95,183,143,129,99,86,51,86,31,7
1491664,Sh'dynasty,US,1066,63078,48720,38746539,1,23,74,177,156,131,99,84,43,66,25,7
9946713,R-amber,JP,1066,79551,28380,35021765,2,28,93,156,146,130,99,87,48,90,40,8
5279469,VibbieT,HR,1066,45102,39060,26187649,2,18,64,156,136,126,97,81,44,61,26,7
2656515,adam eve,IL,1065,202177,25440,108581635,1,18,75,178,149,128,99,86,41,88,28,8
214151,yochairs,IL,1065,81595,21060,36036604,1,16,53,164,137,121,97,79,37,60,22,8
14620396,Emilie,FR,1065,35134,21300,15485979,2,25,76,169,145,127,98,80,44,74,24,9
6582718,あざらっしゅ,JP,1065,22006,17280,11336442,1,19,63,167,137,129,97,83,43,73,23,8
2713198,Kai-Uwe,DE,1064,161472,25020,83472615,1,19,71,180,142,125,99,89,40,89,33,7
5073525,きあろ,JP,1064,103474,51840,64635953,1,16,66,150,148,130,99,80,42,99,23,6
8440847,Curiosity,FR,1064,33605,27840,21994472,1,24,78,175,152,134,98,81,51,65,23,7
5024767,jjh20823,CN,1064,9751,24240,5348992,1,10,44,165,150,136,92,87,47,40,17,7
15844209,forsooth,JP,1063,48625,18060,34145947,1,14,49,163,153,124,99,86,43,66,29,7
11358383,User11197,DE,1063,42644,43260,30449974,3,24,81,148,136,125,98,79,46,70,25,9
7147858,Karrak,DE,1063,22566,31560,25271288,2,25,72,156,135,126,99,87,46,87,23,7
825046,Alex Lage,BR,1063,28318,32100,18897190,1,18,75,164,140,125,97,82,44,58,26,8
6344128,Roxana,RO,1063,36119,40200,18388118,2,26,87,144,145,130,96,86,48,72,22,11
5155691,運ゲー弱者,JP,1063,33893,25860,18335158,1,19,56,157,146,124,95,77,37,45,39,7
6041009,nanaArashi,CN,1063,37774,30480,16603104,1,16,63,178,158,138,98,85,41,82,21,8
12440969,tyou bun,JP,1063,20732,22320,14161020,3,23,68,147,140,135,97,86,47,74,26,6
16042942,fne,GB,1063,8794,41220,5200027,2,20,60,169,149,144,98,84,45,69,19,7
5558604,Josh Scorpius,ES,1062,76952,21840,29715984,1,14,83,200,136,126,99,85,44,72,32,6
9763775,stasyapelman,BY,1062,69625,16740,26337734,1,12,46,156,124,121,98,83,35,73,23,6
451139,qqwref,US,1062,71847,13500,15108198,1,11,44,162,148,127,97,83,42,60,27,6
770798,pauv,CN,1062,27321,14220,12615574,1,11,40,188,154,146,98,74,40,53,22,6
1496533,GlennGould,IT,1062,17342,77640,8904194,2,21,66,143,121,119,96,87,54,56,39,12
17591256,Joseph3079,US,1061,28218,3524,16370891,1,19,66,167,136,134,97,88,46,77,37,7
3751092,Gestath,DE,1061,24773,81120,15407348,2,19,67,157,153,140,97,79,48,61,26,6
3416322,lady grinning soul,CH,1061,32268,41820,12365439,2,20,70,167,140,130,98,89,42,82,24,8
5032507,Saratoga,VN,1061,24422,5280,9775864,1,14,58,200,167,148,96,83,48,55,27,6
2718084,Kurraga,AU,1060,52049,26700,32266616,1,18,66,200,165,141,96,83,36,66,26,6
1523859,Snoom,RU,1060,53128,23340,16976776,2,19,60,165,147,128,99,89,43,84,26,9
7701569,W. Veeranonchai,TH,1060,31173,53880,15822700,2,18,68,160,158,134,99,88,46,86,23,6
11608868,Ikeria,PK,1060,21833,4260,6292719,1,22,65,200,160,141,97,84,47,46,29,6
3326966,tetraidr,RU,1059,61095,22680,45363296,2,21,82,178,153,131,98,84,41,87,28,7
10423385,DaiGoRow,JP,1059,40605,30300,20957699,3,25,90,192,143,128,97,83,48,67,27,9
15862596,yuqiao,CN,1059,28509,59160,8814142,1,20,68,163,142,133,99,90,41,72,34,8
8348104,K U P,TH,1059,10943,17520,4550433,1,17,63,142,130,132,97,84,46,73,22,8
7775974,🌸Pelican💮inactive,JP,1058,65292,20400,39216989,2,21,74,163,154,127,98,81,40,83,26,6
11261857,酒精中毒患者🥂,TW,1058,65293,40320,32675710,2,31,101,139,157,132,99,85,45,90,33,9
9935219,Karz,NL,1058,56706,32220,27208518,2,21,72,190,160,137,98,84,39,77,22,6
2567207,ncher,RU,1057,260615,72060,98126277,2,24,102,188,142,128,99,85,42,93,32,8
7936587,CryptoKnight,FI,1057,78685,52740,24975008,2,26,84,179,145,129,99,85,46,78,41,9
5014889,Волосатый Джо,RU,1057,25070,76140,17528811,2,18,69,157,135,126,97,86,43,64,22,8
2870006,hxtscjk,CN,1057,17858,24240,9694515,1,12,51,164,146,130,98,83,42,68,19,7
2600486,Ad Hoccer 🎹🐉,FI,1057,32385,35940,7335804,2,20,73,171,127,127,99,82,47,84,20,10
7803093,Mommy Raven,XX,1057,16395,86340,7154782,2,22,75,156,133,143,99,81,43,70,35,8
5835547,Gwest,DE,1056,88613,34800,48641149,2,27,98,188,147,128,99,87,41,79,24,7
2245318,hrmszn,JP,1056,88033,80760,42955971,2,28,93,161,152,130,98,84,46,66,23,8
2662491,kommander,DE,1056,55408,78720,37843606,2,20,78,167,149,126,98,87,39,66,32,7
2720918,nbsp28,CZ,1056,39316,24900,19649980,2,21,78,150,146,122,100,80,46,135,23,8
11738148,dali,RU,1056,34604,26340,13154223,2,21,70,173,144,134,97,87,45,78,25,7
21708190,RoyaLKoninA,CH,1056,4673,79260,4150900,1,17,50,126,134,118,94,72,45,39,15,10
6328769,sydney,KR,1055,58457,28260,34411666,2,17,65,158,136,125,99,86,39,77,29,8
11086852,mhelfen,US,1055,57926,28320,18972742,2,21,73,165,146,134,98,85,43,57,27,6
1728040,newbie,SI,1055,11672,4980,5799055,2,18,57,155,140,129,98,85,50,65,18,10
1051220,MaxHero,UA,1054,116150,26040,97468409,2,20,68,141,143,120,99,85,43,95,34,8
1173763,Andrii and Viktoriia,UA,1054,136532,38280,77021808,1,19,74,173,133,121,99,82,40,78,23,8
2422578,Pepper,TW,1054,95726,4080,64499974,1,17,73,173,146,134,98,83,51,72,32,8
1140820,F. Hellig,DE,1053,153863,7740,77126007,2,19,76,186,149,136,98,82,28,76,25,7
8230392,ラティー,JP,1053,52435,37500,43864138,2,30,101,169,142,131,98,84,41,69,32,8
4697737,Jan Ropuszewicz,PL,1053,58434,6360,20949187,2,27,80,180,156,137,99,82,44,71,29,9
12422736,Kisoru,JP,1053,23802,29220,15629607,2,21,83,173,149,130,98,84,50,88,26,7
1932470,Moon Solo,VN,1053,14763,20340,4987704,2,22,71,193,152,139,95,84,45,42,21,7
5143331,jabajop,PH,1052,51235,22800,25979952,1,11,37,190,148,137,96,83,33,49,15,5
